Country,Language Name,Language Code,Population Group,Language Vitality,Scripture,Active Translation,Year Scripture Published
Iran,Khalaj,klj,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Karingani,kgn,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Harzani,hrz,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Ashtiani,atn,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Sangisari,sgr,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Semnani,smy,10K - 99.9K,Vigorous,,Not Shown,
Iran,sign language used by Kurdish people in Iran,IR23,10K - 99.9K,Vigorous,,Not Shown,
Iran,Vafsi,vaf,10K - 99.9K,In_Trouble,,Not Shown,
Iran,Sorkhei,sqo,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,"Pashai, Northwest",glh,10K - 99.9K,Vigorous,,Not Shown,
Morocco,Senhaja Berber,sjs,10K - 99.9K,In_Trouble,,Not Shown,
Morocco,Moroccan Sign Language,xms,10K - 99.9K,Developing,,Not Shown,
Morocco,"Arabic, Judeo-Moroccan",aju,10K - 99.9K,In_Trouble,,Not Shown,
Bhutan,Khengkha,xkf,10K - 99.9K,Vigorous,,Not Shown,
Bhutan,Kurtokha,xkz,10K - 99.9K,In_Trouble,,Not Shown,
Bhutan,Nyenkha,neh,10K - 99.9K,In_Trouble,,Not Shown,
Morocco,Ghomara,gho,10K - 99.9K,In_Trouble,Selections,Not Shown,
Afghanistan,Parachi,prc,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,"Pashai, Northeast",aee,10K - 99.9K,Vigorous,,Not Shown,
Bhutan,Dzalakha,dzl,10K - 99.9K,Vigorous,,Not Shown,
Yemen,Rāziḥī,rzh,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,Komviri,xvi,10K - 99.9K,Vigorous,,Not Shown,
Yemen,"Arabic, Judeo-Yemeni",jye,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,Ashkun,ask,10K - 99.9K,Vigorous,,Not Shown,
Yemen,Sign Language in southern Yemen,YE47,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,Gawar-Bati,gwt,10K - 99.9K,Vigorous,,Not Shown,
Bhutan,Chocangacakha,cgk,10K - 99.9K,Vigorous,,Not Shown,
Saudi Arabia,Faifi,fif,10K - 99.9K,Vigorous,,Not Shown,
Somalia,Tunni,tqq,10K - 99.9K,In_Trouble,,Not Shown,
Somalia,Somali Sign Language,SO95,10K - 99.9K,Developing,,Not Shown,
Somalia,Mushungulu,xma,10K - 99.9K,In_Trouble,,Not Shown,
Somalia,Jiiddu,jii,10K - 99.9K,In_Trouble,,Not Shown,
Somalia,Dabarre,dbr,10K - 99.9K,In_Trouble,,Not Shown,
Algeria,Taznatit,grr,10K - 99.9K,Vigorous,Selections,Not Shown,
Afghanistan,Waigali,wbk,10K - 99.9K,Vigorous,,Not Shown,
Afghanistan,Wakhi,wbl,10K - 99.9K,Developing,,Not Shown,
Turkey,Laz,lzz,10K - 99.9K,In_Trouble,Selections,Not Shown,2020.0
Tunisia,Tunisian Sign Language,tse,10K - 99.9K,Developing,,Not Shown,
Algeria,Tagargrent,oua,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Ngile,jle,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Lumun,lmd,10K - 99.9K,Developing,New Testament,Not Shown,2019.0
Sudan,Logol,lof,10K - 99.9K,Dying,,Not Shown,
Sudan,Laro,lro,10K - 99.9K,Developing,New Testament,Not Shown,2017.0
Sudan,Lafofa,laf,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Krongo,kgo,10K - 99.9K,Developing,New Testament,Not Shown,2003.0
Sudan,Komo,xom,10K - 99.9K,Vigorous,Selections,Not Shown,1963.0
Sudan,Keiga,kec,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Katla,kcr,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Karko,kko,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Kanga,kcp,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Kadaru,kdu,10K - 99.9K,In_Trouble,,Not Shown,
Sudan,Jumjum,jum,10K - 99.9K,Developing,Selections,Not Shown,
Sudan,Ghulfan,ghl,10K - 99.9K,In_Trouble,,Not Shown,
